Time,run1,run2
0,0.002,-0.001
2,0.001,-0.001
3,0.001,0
5,0.001,-0.002
7,0.003,-0.002
8,0.003,-0.002
10,0.001,-0.001
12,0,-0.004
14,0.001,-0.294
15,0.001,-0.295
17,0,-0.295
19,0.001,-0.295
20,0,-0.295
22,0.002,-0.294
24,0.001,-0.295
25,0,-0.294
27,0,-0.294
29,0.002,-0.295
30,0,-0.294
32,-0.001,-0.294
34,0,-0.294
36,0.001,-0.294
37,0.001,0.027
39,0.001,0.12
41,0,0.141
42,0,0.152
44,0,0.157
46,0,0.156
47,0,0.158
49,0.002,0.16
51,0.001,0.163
53,0,0.166
54,0.001,0.17
56,0.002,0.175
58,0.001,0.175
59,0,0.177
61,0,0.181
63,0.003,0.185
64,0.001,0.188
66,0,0.19
68,0,0.194
69,0,0.198
71,0,0.201
73,0,0.206
75,0.001,0.21
76,0,0.215
78,0.001,0.216
80,0.001,0.222
81,0.001,0.224
83,0.002,0.231
85,0.001,0.233
86,0.002,0.237
88,0.001,0.241
90,0.001,0.246
91,0.001,0.252
93,0.001,0.256
95,0.001,0.259
97,0,0.261
98,0,0.266
100,0,0.272
102,0.002,0.275
103,0.001,0.28
105,0.002,0.284
107,0.001,0.286
108,0,0.289
110,0.002,0.294
112,0.001,0.298
113,0.001,0.301
115,0.002,0.305
117,-0.001,0.311
119,0.001,0.314
120,0.001,0.317
122,0.002,0.32
124,0.001,0.328
125,0,0.326
127,0.002,0.331
129,0.003,0.338
130,0.002,0.341
132,0.001,0.343
134,-0.22,0.35
135,-0.269,
137,-0.269,
139,-0.269,
141,-0.269,
142,-0.27,
144,-0.269,
146,-0.269,
147,-0.269,
149,-0.27,
151,-0.27,
152,-0.269,
154,-0.269,
156,-0.269,
158,-0.269,
159,-0.269,
161,-0.269,
163,-0.269,
164,-0.269,
166,-0.269,
168,-0.268,
169,-0.268,
171,-0.269,
173,-0.069,
174,0.129,
176,0.134,
178,0.14,
180,0.146,
181,0.152,
183,0.158,
185,0.163,
186,0.169,
188,0.174,
190,0.179,
191,0.186,
193,0.192,
195,0.196,
196,0.203,
198,0.206,
200,0.21,
201,0.274,
202,0.28,
203,0.282,
204,0.288,
205,0.291,
206,0.297,
207,0.3,
208,0.307,
209,0.312,
210,0.316,
211,0.323,
212,0.325,
213,0.333,
214,0.337,
215,0.343,
216,0.347,
217,0.352,
218,0.358,
219,0.361,
220,0.369,
221,0.371,
222,0.378,
223,0.381,
224,0.388,
225,0.39,
226,0.397,
227,0.401,
228,0.409,
229,0.412,
230,0.415,
231,0.422,
232,0.427,
233,0.435,
234,0.438,
235,0.444,
236,0.446,
237,0.452,
238,0.458,
239,0.462,
240,0.467,
241,0.472,
242,0.475,
243,0.482,
244,0.488,
245,0.491,
246,0.497,
247,0.501,
248,0.504,
249,0.509,
250,0.515,
251,0.518,
252,0.528,
253,0.531,
254,0.535,
255,0.538,
256,0.544,
257,0.55,
258,0.554,
259,0.558,
260,0.564,
261,0.566,
262,0.572,
263,0.575,
264,0.582,
265,0.587,
266,0.593,
267,0.597,
268,0.603,
269,0.608,
270,0.611,
271,0.613,
272,0.622,
273,0.624,
