Time,run1,run2
0,-0.001,0.005
5,0,0.009
11,0,0.01
16,-0.106,0.013
21,-0.112,0.017
26,-0.113,0.018
32,-0.113,0.02
37,-0.046,0.022
42,0.07,0.024
48,0.1,0.027
53,0.125,-0.092
58,0.152,-0.253
64,0.176,-0.254
69,0.201,-0.254
74,0.223,-0.253
79,0.244,-0.254
85,0.269,-0.254
90,0.291,0.046
95,0.314,0.212
101,0.335,0.222
106,0.36,0.23
111,0.382,0.234
117,0.405,0.243
122,0.429,0.248
127,0.45,0.254
132,0.472,0.255
138,0.495,0.261
143,0.516,0.263
148,0.536,0.269
154,0.559,0.273
159,0.584,0.277
164,0.605,0.28
170,0.622,0.284
175,0.647,0.287
180,0.666,0.292
185,0.69,0.295
191,0.712,0.298
196,0.732,0.302
