Time,560b,050a,055a,060a,050b,055b,060b,350a,355a,360a,350b,355b,360b,550a,555a,560a,550b,555b
0,0.041,-0.005,0.047,0.021,0.018,0.317,0.192,0.022,0.029,0.069,0.05,0.046,0.047,0.042,0.094,0.004,0.065,0.042
1,0.04,-0.004,0.048,0.021,0.025,0.316,0.191,0.023,0.029,0.068,0.047,0.046,0.049,0.043,0.093,0.004,0.065,0.039
2,0.04,-0.004,0.048,0.021,0.03,0.318,0.188,0.024,0.028,0.067,0.049,0.045,0.048,0.043,0.092,0.007,0.067,0.038
3,0.04,-0.004,0.047,0.023,0.038,0.317,0.183,0.022,0.027,0.068,0.046,0.045,0.047,0.043,0.09,0.005,0.066,0.038
4,0.042,-0.003,0.047,0.023,0.042,0.318,0.178,0.024,0.027,0.065,0.044,0.043,0.048,0.043,0.086,0.003,0.063,0.037
5,0.04,-0.004,0.048,0.023,0.042,0.315,0.176,0.024,0.026,0.063,0.043,0.043,0.049,0.047,0.085,0.003,0.064,0.039
6,0.042,-0.005,-0.144,0.023,0.043,0.316,0.171,0.023,0.027,0.065,0.043,0.043,0.049,0.046,0.084,0.004,0.063,0.036
7,0.042,-0.005,-0.146,0.025,0.044,0.317,0.17,0.025,0.027,0.062,0.039,0.043,0.05,0.045,0.079,0.007,0.063,0.036
8,0.042,-0.005,-0.145,0.025,0.041,0.317,0.167,0.023,0.025,0.061,0.039,0.043,0.049,0.047,0.076,0.007,0.065,0.037
9,0.04,-0.004,-0.145,0.024,0.041,0.316,0.165,0.023,0.025,0.058,0.041,0.045,0.049,0.046,0.074,0.007,0.064,0.038
10,0.038,-0.004,-0.145,0.023,0.04,0.317,0.161,0.024,0.025,0.057,0.038,0.043,0.05,0.046,0.072,0.005,0.063,0.036
11,0.039,-0.004,-0.145,0.025,0.029,0.314,0.157,0.022,0.025,0.056,0.038,0.042,0.05,0.045,0.069,0.005,0.062,0.039
12,0.038,-0.003,0.037,0.024,0.048,0.314,0.156,0.024,0.025,0.055,0.037,0.044,0.05,0.043,0.067,0.002,0.061,0.042
13,0.039,-0.005,0.036,0.024,0.045,0.314,0.153,0.021,0.026,0.054,0.037,0.042,0.047,0.043,0.064,0.003,0.063,0.04
14,0.039,-0.005,0.035,0.026,0.047,0.317,0.151,0.024,0.024,0.054,0.035,0.041,0.048,0.043,0.06,0.002,0.062,0.038
15,0.039,-0.003,0.034,0.026,0.047,0.319,0.148,0.024,0.027,0.054,0.037,0.043,0.049,0.043,0.058,0.003,0.062,0.037
16,0.038,-0.003,0.035,0.027,0.047,0.317,0.144,0.023,0.023,0.051,0.037,0.043,0.047,0.043,0.055,0.003,0.065,0.039
17,0.038,-0.004,0.035,0.025,0.046,0.316,0.139,0.022,0.023,0.051,0.038,0.043,0.048,0.042,0.053,0.003,0.067,0.039
18,0.038,-0.005,0.036,0.025,0.043,0.316,0.138,0.023,0.024,0.052,0.038,0.047,0.05,0.044,0.05,0.003,0.067,0.039
19,0.037,-0.004,0.035,0.026,0.043,0.316,0.135,0.022,0.023,0.054,0.04,0.043,0.051,0.043,0.05,0.002,0.067,0.038
20,0.038,-0.003,-0.047,0.027,0.043,0.316,0.13,0.022,0.024,0.055,0.038,0.043,0.05,0.044,0.047,0.004,0.063,0.036
21,0.037,-0.004,-0.145,0.025,0.044,0.317,0.126,0.022,0.023,0.054,0.036,0.042,0.051,0.042,0.047,0.002,0.061,0.036
22,0.036,-0.005,-0.145,0.025,0.044,0.315,0.124,0.024,0.024,0.053,0.034,0.042,0.049,0.041,0.046,0.001,0.058,0.035
23,0.038,-0.005,-0.144,0.026,0.042,0.315,0.119,0.025,0.023,0.056,0.033,0.043,0.048,0.043,0.044,0.003,0.058,0.036
24,0.038,-0.005,-0.145,0.025,0.043,0.313,0.117,0.024,0.022,0.054,0.033,0.042,0.047,0.044,0.045,-0.145,0.058,0.038
25,0.037,-0.003,-0.144,0.025,0.042,0.314,0.112,0.023,0.024,0.052,0.033,0.041,0.048,0.042,0.043,-0.144,0.056,0.036
26,0.038,-0.005,-0.144,0.028,0.041,0.314,0.11,0.025,0.022,0.051,0.031,0.042,0.047,-0.025,0.043,-0.144,-0.088,0.035
27,0.036,-0.005,0.046,-0.145,0.043,0.325,0.104,0.021,0.022,0.052,0.032,0.042,0.05,-0.145,0.042,-0.145,-0.146,0.035
28,0.037,-0.005,0.041,-0.143,0.04,-0.143,0.102,0.022,0.021,0.051,0.032,0.042,0.052,-0.145,0.039,-0.145,-0.146,0.035
29,0.038,-0.005,0.049,-0.145,0.043,-0.145,0.1,0.024,0.023,0.051,0.03,0.04,0.051,-0.145,0.039,-0.145,-0.146,0.038
30,-0.021,-0.005,0.042,-0.144,0.042,-0.143,0.095,0.024,-0.146,0.051,0.03,0.041,0.05,-0.146,0.035,-0.146,-0.146,0.036
31,-0.145,-0.006,0.043,-0.144,0.043,-0.144,0.09,0.024,-0.144,0.051,0.029,0.041,0.051,-0.146,0.036,-0.146,-0.145,0.035
32,-0.145,-0.006,0.043,-0.145,0.043,-0.144,0.089,0.023,-0.145,0.05,0.029,0.039,0.053,-0.145,0.033,-0.146,-0.146,0.037
33,-0.146,-0.007,0.046,-0.144,0.044,-0.144,0.085,0.024,-0.145,0.049,0.03,0.04,0.051,-0.144,0.034,-0.145,-0.145,0.038
34,-0.145,-0.007,0.046,-0.145,0.044,-0.144,0.083,0.024,-0.145,0.048,0.029,0.041,0.05,-0.144,0.035,-0.145,-0.146,0.038
35,-0.145,-0.007,0.039,-0.144,0.043,-0.144,0.081,0.025,-0.144,0.047,0.028,0.041,0.048,-0.145,0.035,-0.145,-0.146,0.037
36,-0.144,-0.008,0.042,-0.146,0.044,-0.143,0.076,0.023,-0.144,0.049,0.03,0.04,0.046,-0.146,0.035,-0.145,-0.145,0.038
37,-0.144,-0.005,0.04,-0.144,0.045,-0.144,0.074,0.024,-0.144,0.047,0.031,0.04,0.047,-0.146,0.035,-0.145,-0.145,0.038
38,-0.144,-0.007,0.042,-0.145,0.043,-0.145,0.071,0.024,-0.144,-0.146,0.029,0.039,0.046,-0.146,0.036,-0.146,-0.144,0.037
39,-0.146,-0.006,0.041,-0.144,0.045,-0.143,0.068,0.023,-0.145,-0.144,0.029,0.04,0.047,-0.145,0.036,-0.146,-0.144,0.037
40,-0.145,-0.007,0.045,-0.145,-0.018,-0.144,0.065,0.022,-0.144,-0.144,0.029,0.041,0.05,-0.146,0.037,-0.146,-0.146,0.038
41,-0.146,-0.007,0.042,0.164,-0.144,-0.145,0.063,0.024,-0.144,-0.144,0.028,0.04,0.049,-0.145,0.037,0.093,-0.145,0.038
42,-0.144,-0.007,0.041,0.797,-0.144,0.312,0.059,0.025,-0.144,-0.145,0.028,0.041,0.048,-0.145,0.039,0.156,-0.146,0.037
43,-0.146,-0.007,0.039,0.852,-0.145,0.922,0.058,0.023,-0.146,-0.143,0.027,0.038,0.048,0.249,0.042,0.145,0.028,0.036
44,0.12,-0.006,0.042,0.921,-0.143,0.956,0.053,-0.024,-0.145,-0.145,0.026,-0.002,0.048,0.276,0.045,0.134,0.263,0.036
45,0.125,-0.006,0.04,0.968,-0.144,1,0.049,-0.145,-0.054,-0.144,0.025,-0.145,0.048,0.289,0.044,0.129,0.274,0.035
46,0.125,-0.007,0.042,1.021,-0.145,1.033,0.047,-0.145,0.054,-0.143,0.024,-0.145,0.049,0.303,0.043,0.13,0.287,0.037
47,0.125,-0.007,0.043,1.069,-0.143,1.069,0.044,-0.145,0.055,-0.145,0.024,-0.144,0.048,0.314,0.043,0.13,0.299,0.036
48,0.127,-0.007,0.044,1.121,-0.144,1.107,0.041,-0.144,0.057,-0.144,0.023,-0.145,0.046,0.329,0.044,0.13,0.313,0.038
49,0.128,-0.007,0.044,1.165,-0.144,1.141,0.039,-0.144,0.058,-0.145,0.023,-0.144,0.045,0.344,0.044,0.132,0.324,0.035
50,0.13,-0.007,0.042,1.225,-0.143,1.187,0.036,-0.146,0.061,-0.145,0.023,-0.144,0.046,0.357,0.044,0.132,0.336,0.037
