Time,run1,run2,run3,run4,run5,run7,run8
0,0.399,0.003,0.006,0,0.013,-0.001,0.006
1,0.411,0.004,0.007,0,0.011,0,0.007
2,0.432,0.004,0.005,0,0.013,0,0.006
3,0.448,0.005,0.008,0,0.011,0,0.003
4,0.468,0.004,0.006,0,0.011,-0.001,0.005
5,0.487,0.004,0.007,-0.002,0.013,-0.001,0.004
6,0.504,0.004,0.008,-0.001,0.012,-0.002,0.006
7,0.522,0.004,0.008,-0.001,0.013,0,0.006
8,0.541,0.005,0.008,-0.002,0.01,0,0.006
9,0.559,0.005,0.009,0,0.012,-0.001,0.007
10,0.574,0.005,0.007,0,0.01,-0.001,0.005
11,0.596,0.005,0.007,-0.001,0.01,-0.001,0.005
12,0.611,0.004,0.008,-0.003,0.014,0,0.005
13,0.629,0.004,0.009,0,0.011,-0.002,0.005
14,0.644,0.006,0.009,0,0.011,0,0.004
15,0.664,0.004,0.01,-0.002,0.011,0.001,0.004
16,0.682,0.004,0.01,0,0.008,-0.001,0.006
17,0.7,0.005,0.008,0,0.012,0,0.006
18,0.712,0.006,0.008,0,0.011,0.001,0.005
19,0.733,0.005,0.007,-0.004,0.011,0.003,0.003
20,0.751,0.003,0.005,-0.001,0.011,-0.001,0.005
21,0.768,0.004,-0.082,-0.001,0.012,0,0.006
22,0.787,0.005,-0.08,-0.001,0.011,0,0.004
23,0.803,0.004,-0.082,0,0.012,0,0.006
24,0.817,0.004,-0.082,-0.001,0.012,-0.001,0.006
25,0.836,0.004,-0.082,-0.002,0.011,0.001,0.006
26,0.852,0.002,-0.081,-0.001,0.012,0,0.006
27,0.872,-0.081,-0.082,-0.002,0.01,-0.002,0.005
28,0.886,-0.081,-0.083,-0.003,0.01,0.001,0.004
29,0.9,-0.082,-0.082,-0.004,0.011,-0.001,0.004
30,0.919,-0.081,-0.081,-0.001,0.011,0.001,0.005
31,0.941,-0.081,-0.081,-0.001,0.009,-0.002,-0.027
32,0.954,-0.082,-0.082,-0.001,0.009,0,-0.084
33,0.967,-0.081,-0.083,0,0.013,-0.002,-0.084
34,0.984,-0.082,-0.082,0,0.01,0,-0.084
35,1.003,-0.081,0.26,-0.002,0.012,-0.001,-0.084
36,1.016,-0.081,0.28,-0.001,0.011,-0.001,-0.082
37,1.032,-0.082,0.295,-0.083,0.013,0,-0.083
38,1.051,-0.083,0.319,-0.083,0.01,-0.003,-0.083
39,1.08,-0.081,0.34,-0.08,0.013,-0.001,-0.084
40,1.08,-0.082,0.357,-0.081,0.011,-0.084,-0.084
41,1.103,-0.081,0.376,-0.083,0.012,-0.083,-0.082
42,1.124,-0.081,0.395,-0.081,0.01,-0.084,-0.083
43,1.132,-0.082,0.414,-0.081,0.012,-0.081,-0.085
44,1.143,-0.082,0.434,-0.083,0.011,-0.084,-0.083
45,1.163,-0.081,0.455,-0.081,0.013,-0.084,-0.082
46,1.174,0.028,0.47,-0.082,0.013,-0.084,-0.084
47,1.19,0.339,0.493,-0.081,0.012,-0.084,-0.083
48,1.21,0.354,0.508,-0.082,-0.083,-0.084,-0.083
49,1.222,0.374,0.526,-0.082,-0.081,-0.083,-0.084
50,1.245,0.393,0.547,-0.082,-0.081,-0.083,-0.082
51,1.257,0.413,0.564,-0.082,-0.081,-0.083,-0.083
52,1.282,0.429,0.581,0.249,-0.082,-0.084,-0.083
53,1.282,0.448,0.603,0.292,-0.081,-0.084,-0.084
54,1.303,0.467,0.618,0.312,-0.082,-0.083,-0.083
55,1.313,0.483,0.64,0.334,-0.082,-0.083,-0.084
56,1.336,0.504,0.655,0.356,-0.084,-0.083,0.262
57,1.341,0.519,0.675,0.375,-0.082,-0.083,0.486
58,1.359,0.541,0.691,0.395,-0.082,-0.084,0.505
59,1.369,0.56,0.711,0.412,-0.083,-0.081,0.525
60,1.389,0.58,0.731,0.436,-0.083,-0.083,0.547
61,1.415,0.595,0.747,0.454,-0.082,-0.082,0.564
