Time,.125 mg/mL A.P run 1,1 mg/mL A.P run 1,.5 mg/mL A.P run 1,.25 mg/mL A.P run 1,.125 mg/mL A.P run 2,1/50 mg/mL A.P run 2,.5 mg/mL A.P run 2,.25 mg/mL A.P run 2
0,0.001,0.004,-0.002,0.002,0.001,0.001,-0.001,0.001
1,0,0.006,-0.002,-0.001,0,0.003,0,0.002
2,-0.001,0.005,-0.004,0.001,0,0,0.001,0.001
3,0.001,0.003,-0.003,0.001,-0.001,-0.001,0,0
4,0.001,0.002,-0.004,0,-0.001,0,-0.001,0.001
5,0.001,0.004,-0.006,0.001,0,0,0,0
6,0.001,0.004,-0.004,0,0.001,0,0,0.001
7,-0.001,0.004,-0.003,0.001,0,0.001,-0.002,0.001
8,0,0.005,-0.005,0,-0.001,-0.001,0,0
9,0,0.005,-0.005,0,0.003,0,0,0.002
10,0,0.005,-0.005,0,0,-0.001,0,0.002
11,-0.001,0.005,-0.003,0,-0.001,-0.001,-0.002,0
12,-0.001,0.006,-0.004,-0.001,0.001,-0.003,0.001,0
13,0,0.006,-0.006,0.002,0,0.001,0,0
14,0,0.005,-0.003,0.001,0,-0.001,0.001,0
15,0.001,0.007,-0.004,0.001,0.001,-0.001,0,0
16,0,0.007,-0.004,-0.001,0,-0.001,0,0.002
17,0.002,0.007,-0.003,0.001,0,-0.003,0,0
18,0.002,0.007,-0.005,0.001,0.002,-0.001,-0.001,0
19,0.001,0.007,-0.005,0.001,-0.001,-0.003,0,-0.001
20,0,0.009,-0.006,0.001,-0.001,0,-0.002,0.003
21,0.001,0.008,-0.004,0,-0.001,0,0.001,0
22,0.001,0.008,-0.006,0.001,-0.078,-0.002,0,0
23,-0.001,0.008,-0.005,0,-0.079,0.001,0,0.001
24,-0.001,0.01,-0.005,0,-0.079,-0.003,0,-0.001
25,0.001,0.009,-0.005,0.002,-0.079,-0.002,-0.001,0.001
26,-0.001,0.006,-0.006,-0.001,-0.08,-0.001,0,0.001
27,0.002,0.009,-0.005,0.001,-0.079,-0.002,0,0.002
28,0.001,0.011,-0.005,-0.002,-0.078,0,0,-0.001
29,0,0.009,-0.004,0.001,-0.079,-0.003,-0.001,-0.069
30,0.002,0.009,-0.005,-0.14,-0.08,-0.002,0.001,-0.071
31,0,0.01,-0.004,-0.139,-0.079,-0.082,-0.001,-0.07
32,0,0.009,-0.006,-0.14,-0.079,-0.111,-0.002,-0.071
33,-0.001,0.012,-0.004,-0.141,-0.08,-0.112,-0.001,-0.001
34,-0.002,0.009,-0.004,-0.14,-0.08,-0.11,0,-0.001
35,-0.091,0.011,-0.006,-0.139,-0.079,-0.112,0,0
36,-0.089,0.011,-0.006,-0.14,-0.077,-0.111,0,-0.001
