Time,.166 mg/mL A.P run 4,2.5 mg/mL A.P run 1,2.5 mg/mL A.P run 2,1.25 mg/mL A.P run 1,1.25 mg/mL A.P run 2,1.25 mg/mL A.P run 3,.83 mg/mL A.P run 1,.83 mg/mL A.P run 2,.83 mg/mL A.P run 3,.416 mg/mL A.P run 1,.416 mg/mL A.P run 2,.416 mg/mL A.P run 3,.25 mg/mL A.P run 1,.25 mg/mL A.P run 2,.25 mg/mL A.P run 3,.2 mg/mL A.P run 1,.2 mg/mL A.P run 2,.2 mg/mL A.P run 3,.166 mg/mL A.P run 1,.166 mg/mL A.P run 2,.166 mg/mL A.P run 3,.25 mg/mL A.P run 4,.25 mg/mL A.P run 5,.416 mg/mL A.P run 4,1.25 mg/mL A.P run 4
0,0.019,0.003,-0.008,0,0.002,-0.019,-0.009,-0.003,0.01,-0.015,0.009,-0.004,-0.015,0.024,-0.017,-0.022,-0.005,-0.02,-0.11,0.044,-0.023,0.005,0.04,0.001,0.041
1,0.022,0.003,-0.009,-0.003,0.001,-0.021,-0.01,-0.003,0.009,-0.016,0.008,-0.003,-0.019,0.021,-0.005,-0.023,-0.005,-0.02,-0.112,0.045,-0.023,0.004,0.036,0,0.036
2,0.02,0.002,-0.009,-0.004,0.002,-0.019,-0.009,-0.002,0.01,-0.016,0.008,-0.004,-0.019,0.021,-0.005,-0.022,-0.005,-0.021,-0.112,0.045,-0.023,0.004,0.032,0,0.046
3,0.021,0.003,-0.009,-0.004,0.001,-0.018,-0.01,-0.003,0.01,-0.016,0.009,-0.003,-0.017,0.022,-0.008,-0.02,-0.006,-0.019,-0.056,0.045,-0.023,0.004,0.031,-0.001,0.045
4,0.02,0.004,-0.01,-0.008,0.002,-0.019,-0.009,-0.003,0.01,-0.015,0.01,-0.004,-0.018,0.021,-0.006,-0.024,-0.004,-0.019,-0.042,0.044,-0.025,0.005,0.032,-0.001,0.045
5,0.021,0.001,-0.01,-0.009,0.003,-0.02,-0.009,-0.002,0.01,-0.017,0.009,-0.005,-0.018,0.021,-0.006,-0.022,-0.004,-0.019,-0.044,0.045,-0.025,0.002,0.029,0,0.045
6,0.02,0.004,-0.009,-0.012,0.003,-0.019,-0.01,-0.002,0.007,-0.017,0.008,-0.004,-0.017,0.02,-0.005,-0.023,-0.004,-0.019,-0.041,0.046,-0.024,0.004,0.028,0.001,0.045
7,0.021,0.003,-0.009,-0.013,0.006,-0.018,-0.007,-0.003,0.01,-0.015,0.008,-0.005,-0.019,0.02,-0.005,-0.022,-0.005,-0.021,-0.028,0.045,-0.022,0.003,0.03,0,0.044
8,0.02,0.004,-0.01,-0.012,0.005,-0.021,-0.01,-0.003,0.011,-0.014,0.009,-0.003,-0.018,0.02,-0.007,-0.022,-0.004,-0.02,-0.021,0.047,-0.025,0.003,0.035,0.001,0.043
9,0.02,0.002,-0.009,-0.013,0.006,-0.021,-0.01,-0.003,0.01,-0.013,0.007,-0.003,-0.016,0.019,-0.005,-0.022,-0.003,-0.022,-0.023,0.046,-0.02,0.003,0.042,0,0.042
10,0.021,0.001,-0.009,-0.013,0.007,-0.019,-0.011,-0.001,0.009,-0.017,0.008,-0.005,-0.016,0.021,-0.006,-0.023,-0.006,-0.021,-0.022,0.044,-0.02,0.003,0.05,0,0.045
11,0.02,0.005,-0.01,-0.011,0.006,-0.021,-0.009,-0.003,0.008,-0.016,0.008,-0.003,-0.016,0.02,-0.006,-0.023,-0.004,-0.022,-0.021,0.046,-0.016,0.005,0.059,0,0.044
12,0.021,0.002,-0.008,-0.01,0.008,-0.02,-0.01,-0.002,0.006,-0.014,0.009,-0.005,-0.016,0.02,-0.004,-0.023,-0.004,-0.022,-0.018,0.047,-0.013,0.004,0.06,0,0.045
13,0.02,0.003,-0.009,-0.006,0.011,-0.018,-0.011,-0.002,0.006,-0.018,0.008,-0.005,-0.016,0.02,-0.007,-0.023,-0.006,-0.022,-0.017,0.045,-0.011,0.007,0.06,0,0.045
14,0.019,0.001,-0.011,-0.005,0.013,-0.021,-0.011,-0.003,0.007,-0.017,0.008,-0.003,-0.016,0.02,-0.006,-0.022,-0.006,-0.02,-0.017,0.044,-0.009,0.004,0.061,0,0.044
15,0.02,0.004,-0.009,-0.004,0.016,-0.021,-0.008,-0.002,0.007,-0.016,0.009,-0.004,-0.016,0.019,-0.007,-0.023,-0.005,-0.021,-0.015,0.045,-0.008,0.005,0.062,0,0.044
16,0.02,0.002,-0.01,-0.003,0.017,-0.019,-0.01,-0.002,0.006,-0.018,0.007,-0.005,-0.015,0.019,-0.007,-0.023,-0.006,-0.021,-0.017,0.046,-0.002,0.006,0.061,0.001,0.045
17,0.019,0.003,-0.008,-0.004,0.02,-0.02,-0.011,-0.003,0.006,-0.017,0.01,-0.003,-0.017,0.018,-0.007,-0.022,-0.006,-0.02,-0.016,0.044,0.002,0.006,0.062,-0.002,0.044
18,0.019,0.002,-0.009,-0.002,0.02,-0.019,-0.009,-0.002,0.006,-0.016,0.01,-0.003,-0.016,0.02,-0.004,-0.024,-0.008,-0.021,-0.017,0.047,0.005,0.005,0.062,0.001,0.043
19,0.02,0.001,-0.009,-0.003,0.018,-0.018,-0.01,-0.001,0.006,-0.017,0.008,-0.003,-0.017,0.016,-0.006,-0.023,-0.006,-0.022,-0.017,0.045,0.008,0.005,0.058,0,0.043
20,0.021,0.003,-0.011,-0.003,0.017,-0.018,-0.01,-0.002,0.007,-0.015,0.007,-0.006,-0.016,0.018,-0.006,-0.024,-0.006,-0.021,-0.017,0.049,0.012,0.006,0.057,-0.001,0.043
21,0.019,0.004,-0.009,-0.004,0.017,-0.018,-0.009,-0.002,0.004,-0.017,0.008,-0.003,-0.018,0.016,-0.006,-0.022,-0.007,-0.021,-0.018,0.047,0.013,0.007,0.058,0.001,0.044
22,0.019,0.005,-0.108,-0.001,0.018,-0.018,-0.012,-0.002,0.004,-0.016,0.01,-0.004,-0.016,0.016,-0.005,-0.022,-0.005,-0.021,-0.017,0.047,0.014,0.005,0.054,-0.001,0.043
23,0.02,-0.086,-0.109,-0.002,0.018,-0.019,-0.01,-0.002,0.005,-0.018,0.009,-0.003,-0.017,0.014,-0.005,-0.022,-0.004,-0.021,-0.017,0.048,0.016,0.005,0.053,0,0.042
24,0.021,-0.085,-0.108,-0.003,0.019,-0.019,-0.01,-0.002,0.005,-0.016,0.009,-0.003,-0.017,0.013,-0.005,-0.022,-0.004,-0.02,-0.02,0.047,0.016,0.004,0.052,0,0.042
25,0.02,-0.085,-0.109,-0.003,0.021,-0.021,-0.01,-0.002,0.007,-0.016,0.01,-0.004,-0.016,0.011,-0.005,-0.021,-0.002,-0.021,-0.02,0.045,0.018,0.004,0.052,-0.001,0.044
26,0.016,-0.085,-0.108,-0.003,0.022,-0.017,-0.009,-0.002,0.006,-0.017,0.009,-0.003,-0.017,0.005,-0.004,-0.021,0,-0.022,-0.019,0.048,-0.113,0.004,0.051,-0.001,0.044
27,-0.111,-0.085,-0.109,-0.001,0.024,-0.02,-0.009,0,0.006,-0.016,0.008,-0.003,-0.017,0.004,-0.005,-0.022,0.002,-0.021,-0.018,0.047,-0.113,0.004,0.052,0.001,0.043
28,-0.112,-0.084,-0.108,-0.002,0.024,-0.019,-0.011,-0.001,-0.087,-0.016,0.007,-0.005,-0.017,0.001,-0.005,-0.023,0.001,-0.02,-0.018,0.045,-0.113,0.002,0.052,-0.001,0.042
29,-0.113,-0.084,-0.109,-0.003,0.025,-0.019,-0.011,-0.001,-0.108,-0.017,0.008,-0.004,-0.016,0.003,-0.006,-0.022,0.003,-0.02,-0.017,0.048,-0.112,0.003,0.054,0,0.043
30,-0.113,-0.085,0.077,-0.002,0.025,-0.02,-0.067,-0.001,-0.109,-0.017,0.007,-0.004,-0.016,0.005,-0.006,-0.022,0.004,-0.02,-0.018,0.046,-0.112,0.003,0.051,0,0.043
31,-0.112,-0.085,0.105,-0.001,0.024,-0.018,-0.108,-0.003,-0.109,-0.016,0.008,-0.004,-0.018,0.004,-0.005,-0.022,0.002,-0.022,-0.019,0.046,-0.112,0.003,0.049,-0.001,0.037
32,-0.113,-0.082,0.056,-0.108,0.025,-0.109,-0.11,-0.003,-0.111,-0.016,0.01,-0.004,-0.015,0.004,-0.007,-0.023,0.004,-0.02,-0.018,0.005,-0.113,0.004,0.049,-0.001,-0.112
33,-0.113,-0.085,0.026,-0.109,0.025,-0.108,-0.109,-0.001,-0.109,-0.017,0.009,-0.003,-0.015,0.004,-0.005,-0.022,-0.111,-0.023,-0.015,-0.113,-0.112,0.003,0.042,0,-0.112
34,-0.113,-0.085,0.016,-0.109,-0.108,-0.11,-0.109,-0.002,-0.109,-0.015,0.008,-0.004,-0.013,0.005,-0.007,-0.022,-0.112,-0.019,-0.016,-0.112,-0.112,0.003,-0.112,-0.001,-0.114
35,-0.113,-0.084,0.017,-0.109,-0.109,-0.111,-0.11,-0.005,-0.109,-0.019,0.008,-0.004,-0.013,0.006,-0.006,-0.111,-0.11,-0.021,-0.016,-0.111,-0.113,-0.072,-0.112,0,-0.113
