Time,2.5 mg/mL (1/20) A.P,.5 mg/mL (1/100) A.P,.25 mg/mL (1/200) A.P
0,0.002,0,0.001
2,0,0,0.001
3,0.001,0,0
5,0,0,0
7,0,0,0
8,0,0,0
10,0,0,0
12,0,0,0
14,0,0,0
15,0,0,0
17,0,0,0
19,0,0,0
20,0,0,0
22,0,0,0
24,0,0,0
25,0,0,0
27,0,0,0
29,0,0,0
30,0,0,0
32,0,0,0
34,0,0,0
36,0,0,0
37,0,0,0
39,0,0,0
41,0,0,0
42,0,0,0
44,0,0,0
46,0,0,0
47,0,0,0
49,0,0,0
51,0,0.185,0
53,0,0.205,0
54,0,0.23,0
56,0,0.25,0
58,0,0.271,0
59,0,0.295,0
61,0,0.318,0
63,0,0.341,0
64,0,0.365,0
66,0,0.382,0
68,0,0.401,0
69,0,0.419,0
71,0,0.438,0
73,0,0.458,0
75,0,0.478,0
76,0,0.497,0
78,0,0.514,0
80,0,0.535,0
81,0,0.556,0
83,0,0.576,0
85,0,0.593,0
86,0,0.614,0
88,0,0.631,0
90,0,0.65,0
91,0.128,0.668,0
93,0.36,0.688,0
95,0.415,0.708,0
97,0.468,0.726,0
98,0.551,0.743,0
100,0.637,0.764,0
102,0.7,0.782,0
103,0.741,0.8,0
105,0.777,0.818,0
107,0.825,0.836,0
108,0.881,0.853,0
110,0.935,0.872,0
112,0.992,0.89,0
113,1.046,0.907,0
115,1.097,0.924,0
117,1.147,0.94,0
119,1.197,0.96,0
120,1.249,0.974,0
122,1.294,0.991,0
124,1.342,1.01,0
125,1.39,1.024,0
127,1.435,1.041,0
129,1.487,1.056,0
130,1.529,1.076,0
132,1.578,1.089,0
134,1.62,1.104,0
135,1.662,1.122,0.097
137,1.702,1.136,0.107
139,1.748,1.15,0.115
141,1.788,1.166,0.125
142,1.841,1.18,0.133
144,1.859,1.198,0.143
146,1.904,1.212,0.15
147,1.943,1.233,0.161
149,1.983,1.249,0.169
151,2.021,1.265,0.176
152,2.031,1.279,0.186
154,2.076,1.291,0.193
156,2.099,1.309,0.203
158,2.142,1.327,0.212
159,2.13,1.341,0.22
161,2.172,1.361,0.229
163,2.195,1.375,0.236
164,2.27,1.382,0.245
166,2.247,1.405,0.253
168,2.279,1.416,0.261
169,2.298,1.434,0.269
171,2.312,1.451,0.278
173,2.312,1.463,0.285
174,2.376,1.476,0.293
176,2.366,1.496,0.302
178,2.335,1.508,0.311
180,2.429,1.526,0.319
181,2.369,1.537,0.327
183,2.394,1.559,0.335
185,2.406,1.562,0.344
186,2.432,1.586,0.352
188,2.415,1.597,0.359
190,2.439,1.608,0.366
191,2.475,1.633,0.375
193,2.449,1.638,0.383
195,2.422,1.661,0.39
196,2.461,1.673,0.398
198,2.513,1.689,0.408
200,2.517,1.694,0.416
202,2.467,1.709,0.423
203,2.521,1.73,0.432
205,2.489,1.742,0.439
207,2.477,1.755,0.448
208,2.423,1.758,0.454
210,2.567,1.77,0.463
212,2.481,1.8,0.469
213,2.506,1.809,0.477
215,2.541,1.804,0.485
217,2.528,1.821,0.493
218,2.549,1.836,0.499
220,2.509,1.851,0.507
222,2.515,1.851,0.516
224,2.534,1.884,0.523
225,2.52,1.91,0.531
227,2.529,1.907,0.539
229,2.551,1.913,0.545
230,2.573,1.929,0.554
232,2.508,1.947,0.56
234,2.538,1.951,0.568
235,2.529,1.962,0.575
237,2.595,1.973,0.582
239,2.641,1.999,0.59
241,2.571,1.982,0.599
242,2.524,1.985,0.606
244,2.582,2.011,0.614
246,2.561,2.023,0.62
247,2.521,2.042,0.628
249,2.531,2.064,0.637
251,2.583,2.048,0.643
252,2.552,2.07,0.65
254,2.574,2.061,0.655
256,2.52,2.083,0.665
257,,2.093,0.673
259,,2.105,0.678
261,,2.139,0.687
263,,2.142,0.693
264,,2.143,0.7
266,,2.138,0.708
268,,2.15,0.716
269,,2.16,0.723
271,,2.182,0.731
273,,2.178,0.738
274,,2.186,0.745
276,,2.191,0.752
278,,2.199,0.758
279,,2.219,0.765
281,,2.21,0.775
283,,2.215,0.781
285,,2.269,0.786
286,,2.233,0.796
288,,2.241,0.801
290,,2.256,0.807
291,,2.279,0.817
293,,2.272,0.823
295,,2.256,0.83
296,,2.285,0.836
298,,2.304,0.842
300,,2.287,0.853
301,,2.336,0.858
303,,2.31,0.862
305,,2.322,0.873
307,,2.307,0.878
308,,2.304,0.886
310,,2.336,0.892
312,,2.332,0.897
313,,,0.907
315,,,0.913
317,,,0.918
318,,,0.925
320,,,0.934
322,,,0.941
323,,,0.948
325,,,0.953
327,,,0.962
329,,,0.967
330,,,0.976
332,,,0.982
334,,,0.987
335,,,0.994
337,,,1.001
339,,,1.006
340,,,1.017
342,,,1.022
344,,,1.029
346,,,1.035
347,,,1.046
349,,,1.051
351,,,1.054
352,,,1.063
354,,,1.072
356,,,1.077
357,,,1.083
359,,,1.09
361,,,1.097
362,,,1.105
364,,,1.11
366,,,1.117
368,,,1.121
369,,,1.128
371,,,1.138
373,,,1.145
374,,,1.147
376,,,1.154
378,,,1.161
379,,,1.169
381,,,1.175
383,,,1.181
384,,,1.188
386,,,1.194
388,,,1.202
390,,,1.211
391,,,1.217
393,,,1.222
395,,,1.233
396,,,1.238
398,,,1.241
400,,,1.249
401,,,1.26
403,,,1.264
405,,,1.266
406,,,1.274
408,,,1.281
410,,,1.284
412,,,1.295
413,,,1.299
415,,,1.309
417,,,1.317
418,,,1.322
420,,,1.33
422,,,1.329
423,,,1.344
425,,,1.345
427,,,1.357
429,,,1.358
430,,,1.364
432,,,1.372
434,,,1.377
435,,,1.384
437,,,1.388
439,,,1.395
440,,,1.406
442,,,1.407
444,,,1.421
445,,,1.425
447,,,1.437
449,,,1.433
451,,,1.435
452,,,1.445
454,,,1.452
456,,,1.465
457,,,1.473
459,,,1.476
461,,,1.483
462,,,1.491
464,,,1.495
466,,,1.497
467,,,1.502
469,,,1.506
471,,,1.516
473,,,1.526
474,,,1.53
476,,,1.539
478,,,1.54
479,,,1.55
481,,,1.568
483,,,1.562
484,,,1.565
486,,,1.587
488,,,1.585
489,,,1.594
491,,,1.594
493,,,1.589
495,,,1.606
496,,,1.609
498,,,1.612
500,,,1.626
501,,,1.624
503,,,1.643
505,,,1.647
506,,,1.653
508,,,1.652
510,,,1.664
511,,,1.664
513,,,1.672
515,,,1.673
517,,,1.688
518,,,1.689
520,,,1.694
522,,,1.703
523,,,1.717
525,,,1.71
527,,,1.71
528,,,1.719
530,,,1.725
532,,,1.731
534,,,1.735
535,,,1.75
537,,,1.747
539,,,1.756
540,,,1.774
542,,,1.771
544,,,1.782
545,,,1.782
547,,,1.782
549,,,1.787
550,,,1.794
552,,,1.804
554,,,1.811
556,,,1.816
557,,,1.819
559,,,1.824
561,,,1.825
562,,,1.841
564,,,1.847
566,,,1.86
567,,,1.858
569,,,1.865
571,,,1.856
572,,,1.87
574,,,1.879
576,,,1.877
578,,,1.884
579,,,1.888
581,,,1.897
583,,,1.912
584,,,1.904
586,,,1.913
588,,,1.923
589,,,1.925
591,,,1.91
593,,,1.924
594,,,1.937
596,,,1.952
598,,,1.947
600,,,1.958
601,,,1.962
603,,,1.97
605,,,1.953
606,,,1.964
608,,,1.973
610,,,1.987
611,,,1.988
613,,,1.979
615,,,1.991
617,,,2.01
618,,,2.015
620,,,2.017
622,,,2.029
623,,,2.032
625,,,2.022
627,,,2.038
628,,,2.03
630,,,2.053
632,,,2.039
633,,,2.07
635,,,2.058
637,,,2.052
639,,,2.05
640,,,2.056
642,,,2.057
644,,,2.078
645,,,2.073
647,,,2.08
649,,,2.084
650,,,2.091
652,,,2.111
654,,,2.102
655,,,2.123
657,,,2.123
659,,,2.128
661,,,2.114
662,,,2.14
664,,,2.14
666,,,2.123
667,,,2.146
669,,,2.148
671,,,2.159
672,,,2.167
674,,,2.153
676,,,2.164
677,,,2.159
679,,,2.146
681,,,2.155
683,,,2.159
