Time,day 0 run 1,day 0 run 2,day 1 run 1,day 1 run 2,day 1 run 3,day 2 run 1,day 2 run 2,day 2 run 3,day 3 run 1,day 3 run 2
0,-0.007,0.002,0.113,0.024,0.015,0.029,0.006,-0.031,-0.009,-0.006
1,-0.005,0.002,0.112,0.026,0.014,0.03,0.007,-0.031,-0.01,-0.004
2,-0.006,0.002,0.11,0.028,0.015,0.031,0.007,-0.031,-0.01,-0.005
3,-0.005,0.002,0.115,0.026,0.014,0.029,0.004,-0.031,-0.009,-0.004
4,-0.004,-0.007,0.113,0.026,0.014,0.031,0.007,-0.03,-0.011,-0.004
5,-0.005,-0.132,0.111,0.025,0.013,0.029,0.006,-0.031,-0.01,-0.007
6,-0.004,-0.134,0.11,0.027,0.014,0.029,0.007,-0.029,-0.01,-0.007
7,-0.006,-0.132,0.111,0.028,0.015,0.03,0.005,-0.03,-0.011,-0.007
8,-0.004,-0.132,0.108,0.026,0.012,0.032,0.007,-0.031,-0.011,-0.006
9,-0.007,-0.133,0.109,0.025,0.013,0.031,0.005,-0.028,-0.01,-0.006
10,-0.006,-0.131,0.11,0.026,0.013,0.031,0.006,-0.029,-0.011,-0.006
11,-0.007,-0.131,0.11,0.027,0.015,0.031,0.005,-0.031,-0.012,-0.005
12,-0.008,-0.132,0.107,0.026,0.014,0.029,0.007,-0.032,-0.012,-0.006
13,-0.008,-0.132,0.11,0.024,0.014,0.029,0.005,-0.031,-0.013,-0.005
14,-0.008,-0.133,0.11,0.025,0.012,0.029,0.004,-0.031,-0.011,-0.005
15,-0.007,-0.133,0.107,0.025,0.013,0.028,0.005,-0.031,-0.013,-0.006
16,-0.007,-0.133,0.108,0.025,0.014,0.032,0.006,-0.032,-0.014,-0.006
17,-0.007,-0.132,0.109,0.024,0.014,0.029,0.005,-0.032,-0.012,-0.007
18,-0.009,-0.131,0.11,0.026,0.012,0.029,0.006,-0.03,-0.012,-0.005
19,-0.008,-0.133,0.109,0.026,0.013,0.031,0.006,-0.031,-0.013,-0.006
20,-0.01,-0.133,0.109,0.025,0.013,0.03,0.005,-0.032,-0.013,-0.008
21,-0.008,-0.132,0.109,0.025,0.013,0.028,0.003,-0.033,-0.013,-0.006
22,-0.01,-0.131,0.11,0.026,0.013,0.031,0.004,-0.063,-0.015,-0.005
23,-0.137,0.006,0.108,0.027,0.013,0.031,0.006,-0.137,-0.014,-0.136
24,-0.138,0.964,0.109,0.026,0.011,0.029,0.006,-0.133,-0.012,-0.136
25,-0.136,1.016,0.108,0.024,0.014,0.029,0.005,-0.134,-0.014,-0.136
26,-0.137,1.062,0.11,0.024,0.015,0.029,0.004,-0.135,-0.012,-0.135
27,-0.136,1.117,0.111,0.026,0.015,0.029,0.005,-0.135,-0.013,-0.135
28,-0.136,1.167,0.11,0.027,0.013,0.032,0.008,-0.134,-0.013,-0.136
29,-0.135,1.218,0.11,0.024,0.013,0.03,0.005,-0.135,-0.012,-0.135
30,-0.135,1.262,0.113,0.026,0.013,0.03,0.004,-0.134,-0.013,-0.136
31,-0.135,1.302,0.109,0.026,0.015,0.031,0.005,-0.134,-0.015,-0.136
32,-0.136,1.357,0.107,0.024,0.013,0.029,0.006,-0.134,-0.135,-0.137
33,-0.136,1.403,0.109,0.025,0.014,0.031,0.005,-0.134,-0.134,-0.137
34,-0.137,1.435,0.111,0.026,0.002,0.03,0.006,-0.134,-0.135,-0.135
35,-0.136,1.477,0.11,0.025,-0.13,0.03,0.006,-0.133,-0.134,-0.136
36,-0.135,1.496,0.112,0.025,-0.133,0.029,0.005,-0.135,-0.135,-0.137
37,-0.136,1.549,0.11,0.026,-0.132,0.029,0.005,-0.133,-0.136,0.201
38,-0.136,1.582,0.113,0.025,-0.132,0.027,0.005,0.755,-0.133,0.615
39,-0.136,1.587,0.111,0.024,-0.133,0.029,0.004,0.805,-0.134,0.658
40,0.566,1.645,0.11,0.026,-0.133,-0.081,0.006,0.857,-0.134,0.702
41,0.598,1.681,0.111,0.026,-0.134,-0.134,0.006,0.903,-0.136,0.751
42,0.64,1.683,-0.132,0.025,-0.132,-0.133,0.004,0.946,-0.135,0.788
